"Building.Name","Property.Type","Property_Size_in_sq_ft","Bedroom","Bathroom","Amount_of_Facilities","Parking_Lot","Land.Title","Tenure.Type","Price_in_RM"
"U-Garden","Condominium",700,3,2,10,1,"Non Bumi Lot","Freehold",340000
"Impian Senibong Residences","Service Residence",1144,3,2,7,1,"Non Bumi Lot","Leasehold",489000
"Apartment cempaka bukit beruntung","Apartment",700,3,2,0,2,"Bumi Lot","Leasehold",99000
"FARLIM 4A FLAT","Flat",650,3,2,4,0,"Non Bumi Lot","Leasehold",175000
"KSL Residence 2 @ Kangkar Tebrau","Condominium",797,2,2,6,1,"Non Bumi Lot","Leasehold",380790
"GROUND FLOOR APARTMENT LAS PALMAS RAWANG BLOCK NIPAH","Apartment",750,3,2,6,1,"Non Bumi Lot","Freehold",170000
"Taman Seri Damai","Apartment",950,3,2,6,1,"Non Bumi Lot","Leasehold",295000
"Oasis 1 @ Mutiara Heights","Condominium",1250,3,2,8,2,"Non Bumi Lot","Freehold",499000
"Lexa Residence @ The Quartz WM","Service Residence",881,3,2,9,2,"Bumi Lot","Freehold",610000
"SkyVue Residence","Condominium",1557,3,3,7,2,"Non Bumi Lot","Leasehold",1059888
"E Park Residence","Condominium",1335,3,2,10,2,"Non Bumi Lot","Freehold",549000
"SD Apartments","Condominium",811,3,2,5,1,"Non Bumi Lot","Freehold",285000
"Raintree Residence","Service Residence",926,3,2,9,2,"Non Bumi Lot","Freehold",456000
"The Havre @ Bukit Jalil","Condominium",1073,3,2,14,2,"Non Bumi Lot","Leasehold",520000
"Teratai Mewah Condominium","Condominium",997,3,2,13,0,"Non Bumi Lot","Freehold",400000
"Queens Residences @ Queens Waterfront","Condominium",1200,3,2,12,2,"Non Bumi Lot","Freehold",1480000
"Queens Residences @ Queens Waterfront","Condominium",1200,3,2,10,2,"Non Bumi Lot","Freehold",1450000
"Goodyear Court 10","Apartment",900,3,2,5,0,"Bumi Lot","Freehold",379000
"The Bay Residences","Condominium",1850,4,4,8,2,"Non Bumi Lot","Leasehold",1338000
"The Park @ Mak Mandin","Apartment",1002,3,2,0,1,"Non Bumi Lot","Freehold",360000
"Greenfield Regency","Apartment",820,2,2,9,0,"Non Bumi Lot","Freehold",380000
"Lily & Jasmine","Apartment",1001,3,2,0,0,"Non Bumi Lot","Leasehold",210000
"Danga View Apartment","Apartment",2124,3,4,10,0,"Non Bumi Lot","Freehold",520000
