"Building.Name","Property.Type","Property_Size_in_sq_ft","Bedroom","Bathroom","Amount_of_Facilities","Parking_Lot","Land.Title","Tenure.Type","Price_in_RM"
"Sri Tanjung (USJ 16)","Apartment",650,3,2,5,0,"Bumi Lot","Freehold",195000
"Duta Park Residences","Service Residence",1600,4,3,8,2,"Non Bumi Lot","Leasehold",890000
"Greenfield Regency","Apartment",476,1,1,9,0,"Non Bumi Lot","Freehold",230000
"Larkin Residence (Phase One)","Apartment",1180,3,2,0,0,"Non Bumi Lot","Leasehold",425000
"Flat Temenggong","Flat",571,3,2,1,0,"Non Bumi Lot","Freehold",85000
"Tria Residences @ 9 Seputeh","Condominium",2874,4,4,14,6,"Non Bumi Lot","Leasehold",1700000
"Artis 3","Condominium",650,2,1,5,1,"Non Bumi Lot","Freehold",468000
"Arte S","Service Residence",600,2,1,6,1,"Non Bumi Lot","Freehold",480000
"Mutiara Vista","Apartment",650,3,2,3,0,"Non Bumi Lot","Freehold",250000
"Mutiara Vista","Apartment",650,3,2,3,1,"Non Bumi Lot","Freehold",290000
"Apartment Minang Ria 2","Apartment",689,3,2,3,0,"Non Bumi Lot","Freehold",185000
"Nusa Perdana Service Apartment","Apartment",990,3,2,14,1,"Non Bumi Lot","Freehold",359000
"Maxim Residences","Service Residence",619,1,1,4,1,"Non Bumi Lot","Leasehold",300000
"Skycube Residence","Condominium",1250,3,2,0,2,"Non Bumi Lot","Freehold",600000
"Desa Saujana","Apartment",925,3,2,5,0,"Non Bumi Lot","Freehold",330000
"D'Alamanda","Service Residence",917,3,2,9,0,"Non Bumi Lot","Leasehold",440000
"Taman Topaz","Apartment",814,3,2,2,0,"Non Bumi Lot","Freehold",188000
"D' Puncak Suasana","Apartment",1052,3,2,0,0,"Non Bumi Lot","Freehold",280000
"Suria Mewah Residensi","Apartment",1050,3,2,1,0,"Non Bumi Lot","Leasehold",275000
"Pangsapuri Seri Jasa","Apartment",850,3,2,3,0,"Non Bumi Lot","Leasehold",170000
"All Seasons Park","Condominium",2333,4,3,10,2,"Non Bumi Lot","Freehold",1312000
"Skycube Residence","Condominium",1000,3,2,0,2,"Non Bumi Lot","Freehold",570000
"Imperial Residences","Condominium",1100,3,2,9,2,"Non Bumi Lot","Freehold",580000
"Idaman Lavender 3","Apartment",750,3,2,6,1,"Non Bumi Lot","Freehold",340000
"The Shorefront","Condominium",1636,3,4,6,2,"Non Bumi Lot","Freehold",2200000
"Menara Greenview","Condominium",1060,3,2,4,2,"Non Bumi Lot","Freehold",480000
"Damai Vista Apartment","Apartment",800,3,2,3,1,"Non Bumi Lot","Freehold",378000
"Eastern Court","Apartment",700,3,2,7,1,"Non Bumi Lot","Freehold",368000
"Shineville Garden","Apartment",700,3,2,3,1,"Non Bumi Lot","Freehold",280000
"Razak City Residences ( RC Residences )","Service Residence",800,2,2,10,1,"Non Bumi Lot","Leasehold",405000
"Residensi Zamrud @ Kajang","Condominium",1023,3,2,6,2,"Non Bumi Lot","Freehold",300000
"Residensi Zamrud","Condominium",1023,3,2,0,2,"Non Bumi Lot","Freehold",300000
"Desa Impiana","Apartment",1068,3,2,7,0,"Non Bumi Lot","Freehold",320000
"Kemensah Villa","Condominium",1221,3,2,5,0,"Non Bumi Lot","Freehold",340000
"Rumah Pangsa Saga (Saga Suria)","Apartment",711,3,2,0,0,"Bumi Lot","Leasehold",210000
"Tropicana Cenang","Service Residence",1066,2,2,14,2,"Non Bumi Lot","Freehold",1540000
"Anggun Puri","Condominium",800,3,2,10,1,"Non Bumi Lot","Freehold",345000
"Anggun Puri","Condominium",800,3,2,10,1,"Non Bumi Lot","Freehold",345000
"Fettes Residences","Condominium",2400,4,3,0,2,"Non Bumi Lot","Freehold",1580000
"Fettes Residences","Condominium",2750,4,3,7,2,"Non Bumi Lot","Freehold",1400000
"Pangsapuri Angsana","Apartment",753,3,2,2,0,"Non Bumi Lot","Freehold",230000
"Sun Moon City","Flat",700,3,2,0,0,"Non Bumi Lot","Freehold",120000
"Larkin Residence 3","Service Residence",1250,4,2,5,1,"Non Bumi Lot","Leasehold",400000
"Fettes Residences","Condominium",1600,3,2,9,2,"Non Bumi Lot","Freehold",1050000
"Taman Alor Vista","Apartment",550,2,1,0,0,"Non Bumi Lot","Freehold",170000
"One Foresta @ Bayan Lepas","Condominium",900,3,2,5,2,"Non Bumi Lot","Freehold",480000
"Vista Gambier","Condominium",1500,4,2,7,2,"Non Bumi Lot","Freehold",780000
"The Golden Triangle","Condominium",1195,3,2,8,1,"Non Bumi Lot","Freehold",498000
"Vista Angkasa","Apartment",1000,4,2,5,2,"Bumi Lot","Leasehold",400000
"KSL Residence 2 @ Kangkar Tebrau","Condominium",797,2,2,11,1,"Non Bumi Lot","Leasehold",380790
"Trellis Residences","Service Residence",295,1,1,10,1,"Non Bumi Lot","Freehold",240000
"Vega Residensi","Service Residence",535,1,1,0,0,"Bumi Lot","Leasehold",230000
"Seri Perindu Apartment","Apartment",700,3,2,3,0,"Bumi Lot","Leasehold",230000
"D'Cerrum Apartment","Apartment",950,3,2,0,0,"Non Bumi Lot","Freehold",265000
"Suria Jelatek Residence","Condominium",908,3,2,9,0,"Bumi Lot","Leasehold",420000
"SD Tiara Apartment","Apartment",840,3,2,0,0,"Non Bumi Lot","Freehold",370000
"8 Petaling","Condominium",1850,5,5,10,3,"Non Bumi Lot","Freehold",798000
"Boulevard Condominium (BLVD)","Condominium",936,3,2,14,2,"Non Bumi Lot","Freehold",570000
"Tunas Residensi","Apartment",826,3,2,5,1,"Non Bumi Lot","Freehold",428000
"Jay Series","Condominium",850,3,2,5,1,"Non Bumi Lot","Freehold",380000
"ForestVille","Condominium",1000,3,2,5,2,"Non Bumi Lot","Freehold",495000
"Taman Seri Hijau","Apartment",1300,3,2,3,1,"Non Bumi Lot","Freehold",400000
"The Rise Collection 2","Apartment",800,3,2,3,2,"Non Bumi Lot","Leasehold",380000
"The Spring","Condominium",947,3,2,10,2,"Non Bumi Lot","Leasehold",520000
"Grace Residence","Condominium",1646,4,3,9,2,"Non Bumi Lot","Freehold",888000
"Langat Jaya","Condominium",938,3,2,9,1,"Non Bumi Lot","Freehold",318000
"Taman Kheng Tian","Apartment",665,3,1,6,1,"Non Bumi Lot","Freehold",388000
"3rdNvenue","Service Residence",800,2,2,1,1,"Non Bumi Lot","Freehold",800000
"The Garden Residences","Condominium",769,2,2,8,2,"Non Bumi Lot","Freehold",380000
"Seremban Putra Apartments","Apartment",850,3,2,6,0,"Bumi Lot","Freehold",165000
"M Centura","Service Residence",850,3,2,12,2,"Non Bumi Lot","Freehold",430000
"Kemuning Apartment (Taman Bunga Raya)","Apartment",650,3,2,1,0,"Bumi Lot","Leasehold",65000
"Eastern Court","Apartment",750,3,2,5,1,"Non Bumi Lot","Freehold",319000
"Fiera Vista","Condominium",1450,3,3,9,2,"Non Bumi Lot","Freehold",800000
"Fiera Vista","Condominium",1450,4,3,9,2,"Non Bumi Lot","Freehold",700000
"Fiera Vista","Condominium",1650,3,3,9,2,"Non Bumi Lot","Freehold",750000
"Fiera Vista","Condominium",1450,3,3,8,2,"Non Bumi Lot","Freehold",750000
"Grace Residence","Condominium",1646,4,3,10,0,"Non Bumi Lot","Freehold",880000
"Danga View Apartment","Apartment",1038,3,2,10,0,"Non Bumi Lot","Freehold",420000
"Suria Jelutong","Service Residence",1313,3,2,8,4,"Bumi Lot","Freehold",565000
"Taman Pekaka Block 33","Apartment",700,3,2,5,1,"Non Bumi Lot","Freehold",360000
"Fiera Vista","Condominium",1650,4,3,9,2,"Non Bumi Lot","Freehold",750000
"Suria Jelutong","Service Residence",1313,3,2,8,4,"Bumi Lot","Freehold",565000
"Fiera Vista","Condominium",1650,4,3,9,2,"Non Bumi Lot","Freehold",750000
"Taman Pekaka Block 33","Apartment",700,3,2,5,1,"Non Bumi Lot","Freehold",360000
"Krystal Heights","Apartment",500,2,1,2,0,"Non Bumi Lot","Freehold",185000
"Taman Lip Sin Block 1, 3 & 5","Flat",700,3,2,3,1,"Non Bumi Lot","Freehold",330000
"Flamingo Series","Condominium",1100,3,2,3,1,"Non Bumi Lot","Freehold",640000
"Vistaria Condominium","Condominium",1000,3,2,9,1,"Non Bumi Lot","Freehold",380000
"Desa Green Apartment (Jelutong)","Apartment",700,3,2,3,0,"Non Bumi Lot","Freehold",260000
"Casa Subang","Service Residence",1062,4,2,8,1,"Non Bumi Lot","Freehold",420000
"Pangsapuri Putra Harmoni @ Presint 9","Apartment",700,3,2,8,0,"Bumi Lot","Freehold",270000
"The Latitude","Condominium",1500,3,4,8,2,"Non Bumi Lot","Freehold",718000
"Putra Intan Kondominium","Condominium",974,3,2,3,0,"Non Bumi Lot","Leasehold",230000
"Pangsapuri Cemara (Cheras)","Apartment",650,3,2,4,0,"Bumi Lot","Leasehold",150000
"Pangsapuri Seri Melati","Apartment",786,3,2,2,0,"Bumi Lot","Freehold",150000
"All Seasons Park","Condominium",2304,5,4,10,3,"Non Bumi Lot","Freehold",1680000
"Tree Sparina @ Ideal Vision Park","Condominium",1130,3,3,14,2,"Non Bumi Lot","Freehold",600000
"Kingfisher Series Condominium","Condominium",850,3,2,5,1,"Non Bumi Lot","Freehold",340000
"Laguna Heights (Bukit Laguna)","Condominium",2750,6,5,5,0,"Non Bumi Lot","Freehold",1350000
"Straits Garden Suite","Service Residence",404,1,1,10,1,"Non Bumi Lot","Freehold",443000
"Skyview Residence","Condominium",1450,4,3,8,2,"Non Bumi Lot","Freehold",850000
"Straits Garden Residence @ Jelutong","Condominium",1302,3,2,10,2,"Non Bumi Lot","Freehold",800000
"BaysWater","Condominium",1313,3,3,5,2,"Non Bumi Lot","Freehold",919000
"Tiara Faber","Condominium",1250,3,2,12,0,"Non Bumi Lot","Freehold",453000
"Sri Suajaya Condominiums","Condominium",1507,4,3,0,0,"Bumi Lot","Freehold",395000
"Pelangi Heights","Condominium",1170,3,2,10,0,"Non Bumi Lot","Freehold",360000
"SummerSkye Residences","Condominium",2200,4,4,2,4,"Non Bumi Lot","Freehold",1050000
"One Imperial","Condominium",1180,3,2,6,2,"Non Bumi Lot","Freehold",580000
"East Bay (Seri Bayan)","Condominium",1097,3,2,7,0,"Non Bumi Lot","Freehold",380000
"The Clovers","Condominium",1598,3,3,9,2,"Non Bumi Lot","Freehold",610000
"Sri Impian Apartment (Larkin Perdana)","Apartment",906,3,2,6,1,"Non Bumi Lot","Leasehold",240000
"Gardens Ville","Condominium",1275,3,2,10,2,"Non Bumi Lot","Freehold",588000
"Goodview Heights ( Villa Residence )","Apartment",1085,3,2,4,0,"Non Bumi Lot","Freehold",318000
"Oasis 1 @ Mutiara Heights","Condominium",1250,3,2,8,2,"Bumi Lot","Freehold",520000
"Sierra Residences","Condominium",900,3,2,10,2,"Non Bumi Lot","Freehold",520000
"Sierra Residences","Condominium",1182,3,2,10,2,"Non Bumi Lot","Freehold",490000
"Setia Tri-Angle Residential Condominiums","Condominium",1295,3,2,13,2,"Non Bumi Lot","Freehold",525000
"The Peak Residences","Condominium",1000,3,2,14,2,"Non Bumi Lot","Freehold",500000
"Oasis 2 Residence","Condominium",1250,3,2,0,0,"Bumi Lot","Freehold",470000
"Parc Regency Serviced Apartment","Service Residence",810,2,2,8,0,"Non Bumi Lot","Freehold",298000
"Setia Tri-Angle Residential Condominiums","Condominium",1304,3,2,13,2,"Non Bumi Lot","Freehold",538000
"The Clovers","Condominium",2729,5,4,5,3,"Non Bumi Lot","Freehold",1050000
"Quay West Residence","Condominium",1219,3,2,9,2,"Non Bumi Lot","Freehold",815000
"The Clovers","Condominium",1598,3,3,5,2,"Non Bumi Lot","Freehold",700000
"Desa Delima","Apartment",750,3,2,2,1,"Non Bumi Lot","Leasehold",235000
"Sri Kristal","Apartment",890,3,2,4,1,"Non Bumi Lot","Leasehold",390000
"Flora Green","Condominium",1905,8,3,11,2,"Non Bumi Lot","Freehold",750000
"Cypress Condominium","Condominium",1488,4,3,7,2,"Non Bumi Lot","Freehold",585000
"Taman Pinggiran Delima Flat","Apartment",834,3,2,2,1,"Bumi Lot","Freehold",160000
"Prima Setapak Flat","Flat",560,2,1,1,0,"Non Bumi Lot","Leasehold",149000
"Regal Regina Court","Apartment",850,3,2,2,0,"Bumi Lot","Freehold",280000
"Valencia Apartment","Apartment",1000,3,2,3,0,"Non Bumi Lot","Freehold",250000
"Amadesa","Condominium",1056,3,2,6,0,"Non Bumi Lot","Leasehold",349999
"Sri Cassia","Apartment",880,3,2,0,0,"Non Bumi Lot","Freehold",380000
"Platinum Lake PV 21","Service Residence",1040,3,2,7,0,"Non Bumi Lot","Leasehold",400000
"Alam Sanjung @ Subang West","Service Residence",840,3,2,0,0,"Non Bumi Lot","Freehold",360000
"V-Residensi","Condominium",1210,3,3,9,2,"Non Bumi Lot","Leasehold",398000
"Maxim Citilights","Service Residence",1009,3,2,6,2,"Non Bumi Lot","Leasehold",379000
"BL Garden","Apartment",700,3,2,6,1,"Non Bumi Lot","Freehold",350000
"Novus","Condominium",1155,3,2,5,2,"Non Bumi Lot","Leasehold",680000
"The LIGHT COLLECTION II","Condominium",517,1,1,5,2,"Non Bumi Lot","Freehold",730000
"Boulevard Condominium (BLVD)","Condominium",939,3,2,14,3,"Non Bumi Lot","Freehold",498000
"Asia Heights","Condominium",850,3,2,9,2,"Non Bumi Lot","Freehold",380000
"Wisma Taman Saibe","Apartment",700,2,1,2,1,"Non Bumi Lot","Freehold",300000
"Sinar Bukit Dumbar","Apartment",700,3,2,9,1,"Non Bumi Lot","Freehold",370000
"The Rise Collection 3","Apartment",1000,3,2,9,2,"Non Bumi Lot","Freehold",520000
"Jelutong Park","Apartment",700,3,2,3,1,"Non Bumi Lot","Freehold",313000
"Straits Garden Residence @ Jelutong","Condominium",1345,3,2,10,3,"Non Bumi Lot","Freehold",820000
"Grace Residence","Condominium",1254,3,2,9,2,"Non Bumi Lot","Freehold",760000
"La Vista Condominiums","Condominium",1410,4,3,8,0,"Non Bumi Lot","Freehold",498000
"98 Nibong Residence","Condominium",1487,4,2,6,0,"Non Bumi Lot","Freehold",880000
"OUG Parklane","Service Residence",950,3,2,4,0,"Non Bumi Lot","Freehold",380000
"Menara Jade","Condominium",818,3,2,6,0,"Non Bumi Lot","Leasehold",240000
"Residensi Bistaria","Condominium",850,3,2,6,0,"Bumi Lot","Freehold",280000
"V-Residensi","Condominium",1210,3,2,0,0,"Bumi Lot","Leasehold",400000
"Villa Park","Condominium",1106,4,2,12,2,"Non Bumi Lot","Freehold",360000
"THE FENNEL AT SENTUL EAST","Condominium",1186,3,3,10,0,"Non Bumi Lot","Freehold",720000
"Setia SKY Residences","Condominium",1162,2,3,9,0,"Non Bumi Lot","Freehold",1200000
"Best Western Premier Dua Sentral","Service Residence",872,2,2,6,0,"Non Bumi Lot","Freehold",560000
"Residensi Zamrud","Condominium",1023,3,2,8,2,"Non Bumi Lot","Freehold",350000
"Taman Mutiara Rini","Flat",650,3,2,0,0,"Bumi Lot","Leasehold",125000
"Kelana Sentral","Condominium",867,2,2,11,1,"Non Bumi Lot","Freehold",370000
"Midfields","Condominium",1074,3,2,9,2,"Non Bumi Lot","Leasehold",485000
"Sky View","Service Residence",871,2,2,9,1,"Non Bumi Lot","Freehold",422888
"Bandar Baru Uda (Johor Bahru)","Flat",710,3,2,0,0,"Non Bumi Lot","Leasehold",190000
"The Clovers","Condominium",1598,3,3,8,2,"Non Bumi Lot","Freehold",630000
"The Clovers","Condominium",1598,3,3,8,2,"Non Bumi Lot","Freehold",650000
"The Clovers","Condominium",776,2,2,5,2,"Non Bumi Lot","Freehold",440000
"Desa Idaman Residences","Apartment",955,3,2,10,1,"Non Bumi Lot","Freehold",450000
"Rebana Flat","Flat",650,3,2,0,0,"Non Bumi Lot","Freehold",135000
"Menara Asas","Condominium",1041,3,2,3,2,"Non Bumi Lot","Freehold",550000
"Flamingo Series","Condominium",1150,3,2,5,1,"Non Bumi Lot","Freehold",600000
"Middleton @ Minden Heights","Condominium",1458,3,2,8,2,"Non Bumi Lot","Freehold",1400000
"ForestVille","Condominium",1000,3,2,5,2,"Non Bumi Lot","Freehold",505000
"Palm Palladium","Condominium",1349,4,2,8,1,"Non Bumi Lot","Freehold",638000
"Jay Series","Condominium",850,3,2,6,1,"Non Bumi Lot","Freehold",380000
"saujana apartment","Apartment",700,3,2,4,1,"Non Bumi Lot","Leasehold",160000
"Emerald Residence @ Mahkota Cheras","Condominium",1161,3,2,9,2,"Non Bumi Lot","Freehold",480000
"Cypress Condominium","Condominium",1453,3,3,7,2,"Non Bumi Lot","Freehold",630000
"Vista Saujana","Apartment",955,3,2,5,1,"Non Bumi Lot","Leasehold",265000
"Riviera Apartment","Apartment",958,3,2,4,0,"Non Bumi Lot","Leasehold",210000
"Green Acre Park","Condominium",1012,3,2,8,1,"Non Bumi Lot","Freehold",330000
"Taman Bukit Erskine","Apartment",654,3,2,4,1,"Non Bumi Lot","Freehold",349000
"Solaria Residences","Condominium",1115,3,2,7,2,"Non Bumi Lot","Freehold",565000
"Solaria Residences","Condominium",1115,3,2,8,2,"Non Bumi Lot","Freehold",600000
"De Palma","Apartment",818,3,2,5,2,"Bumi Lot","Freehold",290000
"SummerSkye Residences","Condominium",1100,3,2,9,2,"Non Bumi Lot","Freehold",700000
"J.Satine","Apartment",800,3,2,9,1,"Bumi Lot","Leasehold",300000
"Skycube Residence","Condominium",1250,3,2,9,2,"Non Bumi Lot","Freehold",665000
"Skycube Residence","Condominium",1250,3,2,9,2,"Non Bumi Lot","Freehold",600000
"Villa Ampang","Condominium",950,2,2,14,1,"Non Bumi Lot","Freehold",508000
"Menara Menjalara","Condominium",982,3,2,5,0,"Non Bumi Lot","Freehold",375000
"Arte Mont Kiara","Service Residence",886,2,2,0,0,"Non Bumi Lot","Leasehold",699999
"Villa Park","Condominium",956,3,2,12,0,"Non Bumi Lot","Freehold",320000
"The Henge Kepong","Condominium",1100,3,2,14,0,"Non Bumi Lot","Leasehold",450000
"Asia Heights","Condominium",850,3,2,9,1,"Non Bumi Lot","Freehold",420000
"Tree Sparina @ Ideal Vision Park","Condominium",1300,3,3,14,2,"Non Bumi Lot","Freehold",660000
"Shineville Park","Condominium",3350,6,5,1,4,"Non Bumi Lot","Freehold",800000
"Leader Garden","Condominium",1087,4,2,5,1,"Non Bumi Lot","Freehold",485000
"The Golden Triangle","Condominium",2330,5,4,8,3,"Non Bumi Lot","Freehold",1100000
"Skycube Residence","Condominium",1275,3,2,5,2,"Non Bumi Lot","Freehold",620000
"Sinar Bukit Dumbar","Apartment",800,3,2,10,1,"Non Bumi Lot","Freehold",350000
"Casa Pinang","Apartment",856,3,2,3,2,"Non Bumi Lot","Freehold",430000
"Ferringhi Delima Condominium","Condominium",721,3,2,5,1,"Non Bumi Lot","Freehold",320000
"N-Park Condominium","Condominium",700,3,2,7,1,"Non Bumi Lot","Freehold",350000
"Setia Sky Ville","Condominium",1750,3,2,11,4,"Non Bumi Lot","Freehold",1300000
"Setia Sky Ville","Condominium",1424,3,2,11,3,"Non Bumi Lot","Freehold",1100000
"Taman Seri Hijau","Apartment",700,3,2,3,1,"Non Bumi Lot","Freehold",360000
"Artis 3","Condominium",2000,5,5,5,4,"Non Bumi Lot","Freehold",1400000
"Pangsapuri Akasia Berjaya Park","Apartment",811,3,2,3,1,"Bumi Lot","Freehold",275000
"Villa Angsana","Condominium",1323,3,2,9,0,"Non Bumi Lot","Freehold",355000
"Urban 360","Service Residence",1001,3,2,0,0,"Non Bumi Lot","Leasehold",445000
"Radius Residence","Condominium",916,3,2,7,0,"Bumi Lot","Leasehold",293000
"Mutiara Ville @ Cyberjaya","Condominium",1022,3,2,10,2,"Non Bumi Lot","Freehold",378000
"Rivercity Condominium","Condominium",1272,3,2,0,0,"Non Bumi Lot","Freehold",423000
"Selayang Point","Condominium",1010,3,2,7,0,"Bumi Lot","Freehold",335000
"Angsana","Flat",657,3,2,0,0,"Non Bumi Lot","Leasehold",175000
"Sri Damansara Court","Condominium",893,3,2,7,1,"Non Bumi Lot","Freehold",358000
"The Shore (Kota Kinabalu)","Service Residence",500,1,1,5,0,"Non Bumi Lot","Leasehold",585000
"Taman Alam Indah","Flat",572,2,1,1,0,"Bumi Lot","Leasehold",145000
"Kaleidoscope","Condominium",1196,3,2,0,2,"Bumi Lot","Leasehold",690000
"Tropicana Bay Residences @ PWC","Condominium",1020,3,2,13,1,"Non Bumi Lot","Freehold",698000
"D'Zone Condominium","Condominium",1590,4,3,4,3,"Non Bumi Lot","Freehold",600000
"Larkin Heights Apartment","Apartment",916,3,2,7,1,"Non Bumi Lot","Leasehold",380000
"Radium Adesa @ Sungai Besi / Taman Desa / Maluri Sunway Velocity","Condominium",1050,4,3,13,2,"Non Bumi Lot","Leasehold",470000
"SD Apartments","Condominium",811,3,2,5,0,"Non Bumi Lot","Freehold",350000
"Datin Halimah","Condominium",1616,3,2,9,0,"Non Bumi Lot","Leasehold",400000
"Akasia Residence","Condominium",950,3,2,9,2,"Non Bumi Lot","Freehold",342000
"The Clovers","Condominium",1598,3,3,5,2,"Non Bumi Lot","Freehold",650000
"Regalia Residence","Service Residence",620,1,1,5,0,"Non Bumi Lot","Freehold",368000
"Putra Intan Kondominium","Condominium",974,3,2,3,0,"Bumi Lot","Leasehold",245000
"Bandar Baru Sentul","Apartment",570,2,1,2,1,"Bumi Lot","Leasehold",240000
"The Chancellor Condominium","Condominium",1270,3,2,8,1,"Bumi Lot","Freehold",360000
"The Mark","Condominium",618,1,1,12,2,"Non Bumi Lot","Leasehold",318000
"Renjana Ampang","Condominium",1100,3,2,11,1,"Non Bumi Lot","Freehold",390000
"The Signature (Perai)","Condominium",1087,3,2,8,2,"Non Bumi Lot","Freehold",445000
"The Loft @ KK Times Square","Condominium",1128,3,2,9,2,"Non Bumi Lot","Leasehold",1399000
"Venice Hill","Condominium",1470,3,2,7,1,"Non Bumi Lot","Freehold",229000
"Sentul Utama Condominium","Condominium",891,3,2,8,1,"Bumi Lot","Leasehold",390000
"Waja Apartment","Apartment",820,3,2,1,1,"Bumi Lot","Freehold",225000
"Imperial Residences","Condominium",1200,3,2,9,2,"Non Bumi Lot","Freehold",600000
"Desa Intan","Apartment",626,3,2,3,0,"Non Bumi Lot","Leasehold",170000
"Imperial Residences","Condominium",1100,3,2,9,2,"Non Bumi Lot","Freehold",600000
"Imperial Residences","Condominium",1200,3,2,9,4,"Non Bumi Lot","Freehold",615000
"Kiara Indah Condominium","Condominium",950,3,2,5,1,"Non Bumi Lot","Freehold",369000
"Sri Bayu (Bayan Lepas)","Flat",625,3,1,5,0,"Non Bumi Lot","Freehold",230000
"Pangsapuri Damai","Apartment",1041,3,2,8,2,"Non Bumi Lot","Leasehold",387000
"SummerSkye Residences","Condominium",1100,3,2,10,2,"Non Bumi Lot","Freehold",660000
"Tree Sparina @ Ideal Vision Park","Condominium",1130,3,2,14,2,"Non Bumi Lot","Freehold",600000
"Desa Delima","Apartment",700,3,2,0,1,"Non Bumi Lot","Leasehold",280000
"Tree Sparina @ Ideal Vision Park","Condominium",1300,3,3,14,2,"Non Bumi Lot","Freehold",740000
"One Imperial","Condominium",1200,3,2,9,2,"Non Bumi Lot","Freehold",570000
"One Imperial","Condominium",1200,3,2,7,2,"Non Bumi Lot","Freehold",660000
"Sri Dahlia Apartment","Apartment",670,3,2,9,0,"Non Bumi Lot","Freehold",150000
"Pangsapuri Sri Abadi","Apartment",810,3,2,0,1,"Non Bumi Lot","Freehold",280000
"Boulevard Condominium (BLVD)","Condominium",1195,3,2,14,2,"Non Bumi Lot","Freehold",620000
"Quayside","Condominium",1123,1,1,11,1,"Non Bumi Lot","Freehold",1250000
"Summerton Condominium","Condominium",1566,3,2,8,2,"Non Bumi Lot","Leasehold",800000
"Sinar Bukit Dumbar","Apartment",700,3,2,10,1,"Non Bumi Lot","Freehold",320000
"The Rise Collection 3","Apartment",1000,3,2,9,2,"Non Bumi Lot","Leasehold",495000
"The Rise Collection 2","Apartment",800,3,2,3,2,"Non Bumi Lot","Leasehold",420000
"Molek Regency","Condominium",640,1,1,13,1,"Non Bumi Lot","Freehold",418000
"8 Petaling","Condominium",1690,3,3,10,3,"Non Bumi Lot","Leasehold",759000
"Residensi Zamrud","Condominium",1050,3,2,0,0,"Non Bumi Lot","Freehold",290000
"Legasi Kampong Bharu","Service Residence",950,3,2,11,1,"Bumi Lot","Leasehold",849000
"Casa Suria","Condominium",1300,4,3,8,0,"Non Bumi Lot","Freehold",275000
"Midori Green @ Austin Heights","Service Residence",732,2,1,14,1,"Non Bumi Lot","Freehold",365000
"Setapak Ria Condominium","Condominium",911,3,2,10,0,"Non Bumi Lot","Freehold",295000
"Putra Villa","Condominium",1080,3,2,0,0,"Bumi Lot","Freehold",395000
"Sri Ehsan Apartment","Apartment",753,3,2,2,0,"Non Bumi Lot","Freehold",233000
"Brunsfield Riverview","Condominium",733,2,2,8,1,"Bumi Lot","Leasehold",260000
"Desamas Melur","Apartment",750,3,2,4,1,"Non Bumi Lot","Freehold",318000
"Bayu Tasik 1","Condominium",920,3,2,7,1,"Non Bumi Lot","Leasehold",345000
"Astana Lumayan","Service Residence",1207,4,2,6,1,"Non Bumi Lot","Leasehold",535000
"Pangsapuri Subang Suria","Apartment",778,3,2,5,1,"Bumi Lot","Leasehold",250000
"TimurBay Seafront Residences","Service Residence",541,1,1,8,0,"Bumi Lot","Freehold",430000
"Pangsapuri Ruby","Apartment",1055,3,2,2,0,"Bumi Lot","Leasehold",215000
"Serina Bay","Condominium",900,3,2,0,2,"Non Bumi Lot","Leasehold",360000
"Pangsapuri Mawar (Sentul)","Condominium",1005,3,2,3,0,"Bumi Lot","Leasehold",285000
"Casa Puteri","Condominium",1076,3,2,7,1,"Non Bumi Lot","Freehold",418000
"Taman Daya - Jalan Nibong 28","Flat",570,2,1,0,0,"Non Bumi Lot","Freehold",175000
"Scenaria @ North Kiara Hills","Condominium",1250,4,3,9,2,"Bumi Lot","Freehold",650000
"Pinang Court 1","Condominium",646,3,1,3,0,"Non Bumi Lot","Leasehold",280001
"The Spring","Condominium",925,3,2,10,2,"Non Bumi Lot","Leasehold",565000
"Utropolis Serviced Apartment 1","Apartment",890,3,2,7,1,"Non Bumi Lot","Freehold",510000
"Shamelin Star","Service Residence",774,3,2,14,1,"Non Bumi Lot","Leasehold",530000
"Pangsapuri Saujana Permai 2","Apartment",1069,3,2,5,0,"Non Bumi Lot","Freehold",252000
"Desa Baiduri","Apartment",700,3,2,0,2,"Non Bumi Lot","Leasehold",258000
"Taman Jade View","Condominium",721,3,2,5,1,"Non Bumi Lot","Freehold",270000
"Desa Bistari (Gelugor)","Condominium",700,3,2,3,1,"Non Bumi Lot","Freehold",338000
"Taman Daya - Jalan Nibong 14","Flat",570,2,1,0,0,"Non Bumi Lot","Freehold",175000
"Casa Tropicana","Condominium",1188,2,2,9,2,"Bumi Lot","Leasehold",550000
"Taman Sri Tanjung (Semenyih) Flat","Flat",650,3,2,2,0,"Bumi Lot","Leasehold",100000
"Pangsapuri Pandan Cahaya","Apartment",603,3,1,2,0,"Bumi Lot","Leasehold",200000
"Vista Lavender","Apartment",852,3,2,10,1,"Non Bumi Lot","Leasehold",299000
"The Clovers","Condominium",765,2,2,5,2,"Non Bumi Lot","Freehold",400000
"Central Residence @ Sg Besi","Apartment",565,2,2,7,2,"Non Bumi Lot","Freehold",320000
"D'Cassia Apartment","Apartment",800,3,2,9,0,"Non Bumi Lot","Freehold",250000
"Scenaria @ North Kiara Hills","Condominium",1019,3,2,8,0,"Non Bumi Lot","Freehold",599999
"Bayu Sentul Condominium","Condominium",1363,3,2,0,0,"Non Bumi Lot","Leasehold",499999
"Villa Krystal","Apartment",833,3,2,7,0,"Non Bumi Lot","Freehold",238000
